machine_id,start,end
5e3a0202d4553c000109e88d,2021/03/05/06,2021/04/20/06
5c880dd45035b20001829fe4,2021/05/13/11,2021/06/28/11
5e5d0e84c7847d0001bcc3e5,2020/11/30/15,2021/01/15/15
60489620c745c90001794a06,2021/04/11/00,2021/05/27/00
5f05c399c232080001ccd225,2021/01/25/15,2021/03/12/15
60589cf2076ce800017f55fd,2021/06/25/08,2021/08/10/08
5c9a0a70269fde0001a0c789,2021/06/04/22,2021/07/20/22
5f16a99eecca5100012daf78,2021/06/21/23,2021/08/06/23
608192fae481630001f28a98,2021/05/11/18,2021/06/26/18
5ae17219a6682000014caa71,2020/10/20/22,2020/12/05/22
5e5d153f3ce9c60001323a21,2020/11/23/19,2021/01/08/19
5f16c266ecca5100012dc870,2020/11/25/03,2021/01/10/03
5fa986ebe347b700012a9fad,2021/04/28/18,2021/06/13/18
5cc7fa4152ff16000159b9b3,2020/12/28/00,2021/02/12/00
5d66a75ef6c19b0001393b3f,2021/02/13/22,2021/03/31/22
5e5d11f1c7847d0001bcc75b,2021/05/07/07,2021/06/22/07
5e5d10bc6b4d3d0001a03ee6,2021/01/18/08,2021/03/05/08
5de7d607e49f1a000137c62c,2020/08/25/09,2020/10/10/09
5ee9828b3b3ff20001295ab4,2020/07/28/14,2020/09/12/14
6010404bdb982b0001fdafff,2021/06/19/06,2021/08/04/06
5d5ec7fef1e87500013268ec,2020/11/07/17,2020/12/23/17
5df7ea19d800e400013c1f38,2020/09/11/06,2020/10/27/06
5f3df7fb0f89b60001ec678c,2020/09/18/03,2020/11/03/03
5ded024b7f188e000188e091,2021/03/04/08,2021/04/19/08
5f9ff542ce12ea0001163f34,2021/04/11/16,2021/05/27/16
5fd2e84a63c9b60001bb757b,2021/06/02/06,2021/07/18/06
5d5dae80f2b5530001dabc1c,2021/05/07/13,2021/06/22/13
5f32b64a4600950001f7b176,2021/03/04/08,2021/04/19/08
5edaca189fd3e50001043e68,2021/06/27/18,2021/08/12/18
5e1770751d33b30001ff63fa,2021/03/08/16,2021/04/23/16
5f0ad4af185d790001b32b01,2021/06/18/05,2021/08/03/05
5df149cd41eb7e0001748280,2020/11/13/15,2020/12/29/15
5cc85832082a51000143347a,2020/07/18/14,2020/09/02/14
5c99fdb7269fde0001a0c359,2021/02/01/01,2021/03/19/01
5f16d429ab44ba000132f502,2021/04/26/09,2021/06/11/09
5f16d591ab44ba000132f607,2020/11/04/04,2020/12/20/04
5f316f604600950001f67486,2020/09/23/09,2020/11/08/09
5eae4a3cac809e0001fb7d31,2021/03/20/09,2021/05/05/09
5ded03cdc6552f00017c0f35,2020/09/23/23,2020/11/08/23
5fcf9ffb235b110001ecb694,2021/05/14/06,2021/06/29/06
5de3752da1a1de0001c3aa7b,2020/09/29/03,2020/11/14/03
5e175a3e68cc7e0001324585,2021/03/22/05,2021/05/07/05
5efc1d2c31989d0001349d12,2021/03/17/10,2021/05/02/10
5e5d0d6ac7847d0001bcc34b,2021/04/19/21,2021/06/04/21
5f16aad7ecca5100012db0b8,2021/02/09/05,2021/03/27/05
5ae1721aa6682000014caa88,2021/04/27/04,2021/06/12/04
5eb16a33658a470001b1a38b,2020/07/19/01,2020/09/03/01
5e5d12aec7847d0001bcc7a5,2021/04/23/09,2021/06/08/09
5a96ddc67aca620001002309,2021/03/21/13,2021/05/06/13
5f54f0657546020001759d8d,2020/10/18/13,2020/12/03/13
5edac818d624f40001c0121b,2021/01/10/02,2021/02/25/02
607dfb5819f9f10001578178,2021/07/03/14,2021/08/18/14
5f5a66fd547995000190a7e5,2021/05/13/14,2021/06/28/14
5d6553f0f6c19b000138c5d2,2021/01/21/15,2021/03/08/15
5d5ebfb136c60e0001e06bbf,2021/03/07/19,2021/04/22/19
5ced5ba8ee3cdc0001753553,2020/09/11/11,2020/10/27/11
5f54db0175460200017587b2,2021/06/13/20,2021/07/29/20
5f5281f7f3b4d400014c1c57,2021/03/10/00,2021/04/25/00
5ef63346e1c0e90001ebe8f1,2020/08/08/12,2020/09/23/12
5bbe61314b6c0500019449f7,2020/12/09/13,2021/01/24/13
5f05fceec232080001ccf693,2020/12/10/08,2021/01/25/08
5c7d6ebc517fa800017f9c16,2021/01/22/19,2021/03/09/19
5eeb66a8ac230e00012798a4,2021/06/30/19,2021/08/15/19
5a96ddfa7aca62000100230c,2020/10/08/23,2020/11/23/23
5eb16a26aaf9330001c75156,2020/11/13/05,2020/12/29/05
5ef63e2d4db9b0000182727d,2020/07/25/03,2020/09/09/03
5fa80fb4ff2b11000116d17c,2020/12/25/21,2021/02/09/21
5ec044e112b049000159d42f,2020/09/25/07,2020/11/10/07
5e5d108cc7847d0001bcc6f4,2020/11/24/17,2021/01/09/17
604ee7e7160d530001f04330,2021/04/26/11,2021/06/11/11
5f32ed4bbff9a500010562a7,2021/01/29/06,2021/03/16/06
606496914ab5590001a080c6,2021/04/20/01,2021/06/05/01
5fa0179dce12ea000116652d,2021/04/30/09,2021/06/15/09
5c882deae535020001586d34,2021/03/29/18,2021/05/14/18
5f17e95638d5f80001caa622,2021/03/06/10,2021/04/21/10
5e8f60a3fdcbe50001049c7f,2020/11/11/01,2020/12/27/01
5fda7bb548e1860001562931,2021/05/28/23,2021/07/13/23
5f279c8a86c85b00016a52b1,2020/09/19/10,2020/11/04/10
5fa01f03ce12ea00011671f4,2021/01/03/12,2021/02/18/12
5f6e4111a6ccb60001ad8901,2021/02/03/00,2021/03/21/00
6062230226bbc20001dfbc1d,2021/06/04/13,2021/07/20/13
602559279ada660001b8c8c3,2021/05/21/06,2021/07/06/06
5eed0f24fca359000120fe08,2020/11/22/23,2021/01/07/23
5fa16076cddefa0001558bff,2020/12/04/14,2021/01/19/14
5e5d08823ce9c600013233c6,2020/10/22/01,2020/12/07/01
5c7561180851b700014c0cb3,2020/12/18/10,2021/02/02/10
5f0aebc9185d790001b343ea,2021/02/28/11,2021/04/15/11
5cc80bb8082a510001431833,2021/07/03/05,2021/08/18/05
5fa97773a47db900016fa388,2021/02/08/02,2021/03/26/02
5c19351505fde70001e19ce8,2020/10/15/15,2020/11/30/15
5c9a0ea6269fde0001a0c862,2020/08/03/15,2020/09/18/15
605a469aba067a0001da060e,2021/07/01/00,2021/08/16/00
5f68f33732513a0001e7e8a8,2021/01/31/20,2021/03/18/20
5f3295764600950001f793e1,2021/01/29/08,2021/03/16/08
